id,date,speaker,statement,label_fnn,word_count,text_length
3106,2011-01-25T06:00:00-05:00,Joe Wilkinson,A national organization says Georgia has one of Americaâs toughest ethics laws.,fake,682,4261
5655,2012-04-02T11:42:20-04:00,Rick Scott,"Says Barack Obama's health care law ""will be the biggest job-killer ever.""",fake,987,5736
3506,2011-04-01T09:49:05-04:00,J.D. Alexander,"Says the Southwest Florida Water Management District has $850 million in reserves, enough money in savings to run without levying taxes for more than two years.",fake,732,4457
3450,2011-03-21T12:20:02-04:00,Paul Ryan,"""The Congressional Budget Office has this economic model where they measure the economy going forward, and they are now telling us that the entire economy crashes in the year 2037 because their computer simulation can't conceive of any way in which the U.S. economy can continue.""",real,1206,7060
4776,2011-11-13T07:30:00-05:00,Rodney Frelinghuysen,"Says the Treasury Department ""says 41 percent of all business income reported on individual returns would be hit by the [millionairesâ] surtax"" that ""would harm small businessmen and women, the very people we are counting on to create new jobs.""",fake,614,3741
8934,2014-02-17T00:00:00-05:00,Terry McAuliffe,"""Seventy percent of all uninsured live in households in which at least one person is working.""",real,250,1491
1415,2010-01-21T17:37:57-05:00,Chain email,"The House health care bill provides for ""free abortion services, and probably forced participation in abortions by members of the medical profession.""",fake,684,4070
18318,2020-04-09T16:08:57-04:00,Facebook posts,Says a pandemic occurs exactly every 100 years.,fake,703,4215
5716,2012-04-11T07:30:00-04:00,Robert Menendez,"Says the United States ""actually exports more gasoline, diesel and other fuels than it imported in 2011 for the first time since, I think, 1949.""",real,497,2914
13207,2016-10-07T10:00:24-04:00,Josh Hawley,"Says ""he fought Obama at the Supreme Court â and won.""",real,952,5584
8296,2013-09-23T10:27:49-04:00,Rick Scott,"""You have to get a license to fish on our beaches.""",real,499,2798
6285,2012-07-20T10:43:08-04:00,Committee to Protect Florida,"Says Jeff Brandes voted to allow state-run Citizens Property Insurance to dump policies onto ""out-of-state, unregulated private companies.""",real,743,4452
14631,2017-10-12T16:49:23-04:00,Casey Cagle,"A Homeland Security study ""showed 120 murders took place that could have been prevented had communities been working with ICE and Homeland Security.""",fake,793,4997
8377,2013-10-09T15:34:26-04:00,Dan Patrick,"I am ""the only candidate for lieutenant governor to oppose in-state tuition for illegal immigrants.""",fake,1506,9030
7397,2013-02-17T00:01:00-05:00,Brian Patrick Kennedy,"Employers and schools have no right to conduct ""surveillance of a dorm room or a workerâs cubicle.""",fake,923,5438
12989,2016-08-31T12:00:00-04:00,Donald Trump,"""Hillary Clinton wants to shut down family farms"" using ""radical regulation,"" by raising business tax ""rates as high as nearly 50 percent"" and by taxing ""family farms again at death by as much as 45 percent.""",fake,1034,5939
